"Monthly CPI indicator, Australia, annual movement (%)"
,"Monthly CPI indicator (%)","Annual Trimmed mean (%)","Monthly CPI excluding volatile items* & holiday travel (%)"
"Jan-20","2.7","2.1","2.0"
"Feb-20","2.0","1.7","2.1"
"Mar-20","2.1","1.8","2.4"
"Apr-20","0.1","1.3","1.2"
"May-20","-0.2","1.3","0.6"
"Jun-20","-0.1","1.2","0.4"
"Jul-20","0.8","1.0","1.4"
"Aug-20","1.1","1.3","1.3"
"Sep-20","0.4","1.0","1.4"
"Oct-20","0.5","1.3","1.9"
"Nov-20","1.1","1.5","2.1"
"Dec-20","0.3","1.3","1.8"
"Jan-21","0.4","1.4","1.9"
"Feb-21","1.1","1.1","1.5"
"Mar-21","0.8","0.9","1.1"
"Apr-21","2.5","0.9","2.1"
"May-21","3.3","1.5","3.0"
"Jun-21","3.5","1.5","3.4"
"Jul-21","2.1","1.6","2.1"
"Aug-21","2.5","2.0","2.6"
"Sep-21","3.1","2.3","2.5"
"Oct-21","3.0","2.3","2.0"
"Nov-21","3.2","2.3","2.2"
"Dec-21","3.5","2.7","2.9"
"Jan-22","4.0","3.1","3.1"
"Feb-22","4.9","3.4","4.1"
"Mar-22","5.7","3.7","4.4"
"Apr-22","5.5","4.0","4.9"
"May-22","6.1","4.3","5.2"
"Jun-22","6.8","4.5","5.5"
"Jul-22","7.2","5.4","6.2"
"Aug-22","7.2","5.9","6.6"
"Sep-22","7.2","6.1","6.6"
"Oct-22","7.0","6.1","7.0"
"Nov-22","7.4","6.6","7.1"
"Dec-22","8.4","7.2","7.2"
"Jan-23","7.5","6.5","6.9"
"Feb-23","6.8","6.5","6.8"
"Mar-23","6.3","6.5","6.9"
"Apr-23","6.7","6.7","6.5"
"May-23","5.5","6.1","6.4"
"Jun-23","5.4","6.0","6.1"
"Jul-23","4.9","5.6","5.8"
"Aug-23","5.2","5.6","5.5"
"Sep-23","5.6","5.4","5.5"
"Oct-23","4.9","5.3","5.1"
"Nov-23","4.3","4.6","4.8"
"Dec-23","3.4","4.0","4.2"
"Jan-24","3.4","3.8","4.1"

"*Volatile items are Fruit and vegetables and Automotive fuel"

"Source: Australian Bureau of Statistics, Monthly Consumer Price Index Indicator January 2024"